,AT,V,AP,RH,PE
1296,21.76,60.27,1018.96,85.06,446.86
8223,9.73,41.01,1021.76,97.71,469.11
3387,22.5,58.79,1017.48,73.02,443.35
3524,12.71,41.39,1019.3,74.2,475.13
6709,17.18,63.09,1020.67,93.58,451.37
7756,31.13,67.45,1015.02,41.34,435.14
5669,16.81,42.42,1008.95,74.25,462.19
3104,19.84,56.89,1013.23,78.32,447.92
3154,15.26,41.2,1016.0,76.06,467.98
7881,21.1,62.66,1011.19,83.49,448.8
926,8.35,43.79,1016.2,85.23,484.21
3859,16.7,46.18,1011.2,96.84,456.2
2370,12.81,45.51,1015.46,79.97,469.27
6702,20.78,68.28,1008.75,60.87,450.57
1367,8.73,41.92,1029.41,89.72,480.99
6129,29.51,75.6,1017.92,50.61,431.18
1016,14.55,41.7,1018.58,80.8,454.14
7727,26.97,67.32,1014.35,55.07,439.61
5473,18.82,61.27,1019.5,72.23,455.29
8812,22.52,67.32,1011.4,66.2,443.49
47,23.8,48.6,1002.43,67.32,440.89
332,16.76,45.09,1014.28,57.71,458.67
5177,18.32,42.18,1002.27,95.99,458.46
8354,28.73,73.91,1004.91,70.17,436.12
2346,15.91,38.62,1016.2,63.63,462.25
240,25.67,74.78,1010.24,68.87,440.48
3302,31.46,66.54,1002.86,53.75,427.76
2782,9.03,40.71,1025.98,81.94,484.97
7627,6.76,36.25,1028.31,91.16,484.36
7307,24.99,48.92,1010.03,41.26,443.12
6842,18.62,61.27,1019.26,73.35,455.75
4545,8.41,40.67,1019.97,69.2,489.25
593,21.24,44.57,1008.72,72.57,447.03
6335,13.48,41.26,1021.92,78.24,466.88
3162,30.03,70.02,1010.07,64.2,436.88
8930,34.51,73.03,1013.73,39.42,439.8
1007,10.16,40.8,1028.13,86.39,477.49
2771,26.4,48.41,1008.51,66.95,442.23
8349,14.02,40.66,1017.05,84.14,465.39
573,20.79,65.59,1014.9,77.0,450.3
3030,24.15,64.63,1020.72,58.06,448.87
4957,10.59,41.54,1019.94,73.88,477.05
1473,28.18,73.88,1005.89,75.41,434.48
5047,13.67,44.92,1023.6,85.35,467.71
135,18.61,67.71,1004.07,84.49,443.57
4840,10.19,37.14,1012.74,73.48,475.01
8423,15.03,44.45,1020.94,65.57,460.06
4668,25.54,49.16,1003.64,47.4,443.55
4008,19.15,59.21,1018.41,88.9,450.26
5283,7.44,41.04,1021.84,88.56,479.08
3967,24.26,69.71,1008.98,81.58,438.6
5061,27.22,66.49,1013.45,42.41,437.24
4756,20.62,48.41,1007.37,87.51,445.4
4770,22.06,59.39,1015.26,85.04,441.31
9513,16.2,45.76,1014.73,89.84,460.87
6363,7.03,41.74,1021.92,86.44,486.91
3531,17.33,41.35,999.51,68.36,460.46
1183,13.74,45.08,1024.97,84.79,466.79
3150,33.67,80.18,1010.83,60.87,431.99
7017,21.95,68.63,1012.8,61.55,448.9
7436,13.42,40.35,1011.2,77.0,472.57
5050,29.78,70.98,1007.82,77.59,436.32
1141,10.23,42.32,1017.53,89.93,473.59
1499,12.82,43.5,1022.38,84.32,471.41
502,9.68,41.48,1018.24,71.04,473.31
5169,23.49,64.63,1020.75,65.16,450.28
10,28.28,68.67,1006.36,69.9,435.29
1423,14.09,41.66,1009.25,71.4,469.93
6391,24.18,66.48,1003.3,70.99,433.37
5060,23.74,49.21,1012.78,42.5,447.67
59,29.11,74.9,1003.31,74.01,432.43
8684,28.36,69.88,1007.75,84.17,434.03
4508,17.48,43.14,1018.68,74.85,459.59
2192,13.11,42.99,1007.6,97.0,472.84
3384,24.26,56.57,1013.86,70.35,442.9
4892,11.64,41.39,1017.36,83.4,479.53
1123,29.12,66.51,1015.69,37.9,432.88
1395,5.47,38.68,1017.33,72.71,485.7
9495,18.26,61.27,1019.1,74.74,428.67
5595,14.42,44.88,1019.35,59.17,462.72
1599,29.7,67.17,1007.31,66.56,438.04
4861,31.37,74.87,1009.22,56.58,436.16
5356,25.77,59.39,1014.76,69.99,438.64
1210,25.06,52.36,1014.7,67.98,454.13
2614,27.23,71.77,1006.59,77.94,427.39
5198,24.8,59.87,1018.79,60.79,441.0
4938,16.39,52.75,1024.42,54.61,459.48
8908,19.47,58.79,1016.8,87.26,450.17
1643,21.89,74.78,1010.35,80.39,444.6
7125,8.57,40.23,1017.53,90.46,484.17
290,29.56,70.4,1006.49,82.95,432.85
3671,27.06,61.41,1011.99,45.23,452.85
6792,6.06,41.17,1019.67,84.7,489.62
6921,14.7,44.9,1021.87,83.9,468.69
5315,22.35,57.76,1017.92,68.18,453.74
6705,8.41,39.16,1015.47,93.42,484.34
1185,19.6,48.14,1013.18,68.71,456.57
501,21.89,74.93,1016.11,77.88,448.47
7088,24.09,63.94,1017.59,51.02,442.92
3361,24.06,58.98,1010.66,81.16,443.75
3934,22.49,71.29,1008.24,75.8,442.58
9227,25.54,61.08,1013.77,69.64,448.57
8210,13.83,42.86,1030.77,75.09,470.21
4259,18.89,43.56,1012.79,38.63,463.91
82,29.14,61.5,1009.64,39.95,437.76
8824,9.75,36.66,1026.21,70.12,479.45
2315,28.85,58.33,1013.78,41.39,444.0
7875,23.57,66.75,1018.06,80.19,439.71
8777,27.47,63.78,1016.07,48.47,446.69
8544,16.12,45.87,1008.15,86.12,457.41
7817,25.38,71.73,1009.97,72.6,434.44
4062,26.94,71.14,1011.63,62.74,434.03
7618,21.75,65.12,1015.53,66.0,452.89
5672,25.97,70.32,1007.48,57.01,435.27
1886,30.2,71.8,1011.13,60.66,436.94
9255,8.03,40.67,1020.13,70.87,492.26
5861,26.49,67.69,1004.61,78.13,430.62
7434,27.29,64.45,1013.46,45.35,446.94
1716,23.49,49.3,1003.35,77.96,442.76
5441,8.97,36.24,1013.21,90.77,477.89
3179,19.12,45.01,1014.0,59.95,453.24
8174,14.03,49.15,1020.5,83.65,467.16
672,23.55,51.95,1006.0,76.46,449.54
8299,10.31,42.49,1009.43,78.36,479.64
1290,31.38,72.29,1008.73,73.27,430.58
9336,28.84,74.9,1004.38,66.86,436.42
2435,29.84,74.87,1009.64,61.39,435.05
6501,18.8,44.71,1016.56,31.29,459.85
4219,22.9,67.25,1017.74,74.53,438.62
6243,21.96,71.85,1009.38,75.98,441.52
3581,23.96,60.95,1015.01,65.24,446.4
772,11.8,41.54,1020.0,65.85,476.12
5839,23.75,60.29,1017.36,64.04,449.57
5322,30.81,71.97,1008.36,75.0,430.53
6482,17.2,40.55,1000.68,72.67,462.55
9458,24.4,67.45,1015.63,57.1,435.47
7035,27.71,69.13,1001.63,51.45,432.54
8993,25.91,67.07,1005.66,60.12,441.74
2713,26.11,69.84,1002.57,84.99,427.45
3673,21.39,64.27,1011.71,95.39,445.12
4397,25.64,63.47,1012.33,68.35,442.62
7287,15.18,43.67,1011.59,92.58,467.74
4358,15.42,39.82,1012.89,83.54,469.9
4785,25.06,64.63,1020.66,54.93,446.57
3625,10.62,39.64,1010.51,68.55,478.37
982,18.5,46.93,1015.0,66.81,455.63
4194,28.86,73.18,1012.46,68.8,427.01
4831,31.61,69.04,1008.11,47.96,439.19
2960,21.65,58.18,1008.33,95.28,441.05
894,28.09,65.27,1013.27,51.96,440.0
8245,13.12,39.18,1023.11,64.33,471.44
2018,16.72,44.34,1019.26,63.77,465.89
6679,15.63,41.79,1006.7,78.28,455.24
7065,16.55,54.3,1017.95,60.84,460.59
6802,7.19,41.39,1018.12,90.76,486.35
308,27.76,71.97,1008.53,86.97,434.04
455,20.36,66.05,1015.86,87.19,450.23
8601,14.51,53.82,1016.46,62.75,463.17
2504,22.86,58.96,1014.03,54.96,451.82
3619,6.92,43.13,1018.26,89.23,486.36
2810,24.88,51.43,1011.28,67.38,441.03
5522,25.95,69.51,1009.36,66.82,434.38
7206,16.69,46.18,1011.0,97.85,458.57
5573,17.48,52.9,1020.03,76.47,458.34
4807,26.5,66.75,1018.48,61.62,431.23
5475,19.62,58.79,1017.59,87.39,446.29
7132,9.98,41.62,1013.56,95.77,463.16
6885,26.22,67.45,1013.7,44.04,440.17
1121,26.86,68.08,1012.99,50.04,436.25
8790,24.43,72.43,1008.03,85.56,434.71
9021,15.12,52.05,1014.63,80.38,464.78
9467,15.02,42.07,1017.89,83.68,460.82
2902,14.83,53.82,1016.57,63.47,464.0
15,22.72,64.15,1021.14,60.34,453.13
8750,20.08,63.09,1019.0,77.06,448.74
923,9.26,39.61,1021.18,84.58,480.38
2193,10.74,41.46,1016.76,84.59,479.94
9407,15.11,42.99,1007.53,85.75,466.25
357,20.01,43.77,1012.13,65.53,455.66
7879,6.9,39.81,1016.74,88.24,481.88
8866,12.22,40.71,1021.25,80.83,477.07
8447,31.87,67.32,1013.65,36.69,435.47
7692,6.57,42.07,1004.48,74.82,483.86
6964,23.09,63.91,1012.23,83.25,447.9
7429,27.34,63.78,1016.5,48.4,446.56
4920,27.27,72.58,1009.25,89.31,428.93
3422,17.46,42.42,1008.97,69.19,469.63
4951,14.77,49.15,1020.56,80.27,467.72
9157,7.76,37.7,1014.82,76.47,480.7
5990,23.43,71.97,1009.42,94.27,442.19
3637,10.12,39.96,1025.98,98.63,471.6
7279,25.11,63.21,1012.21,83.58,443.43
3175,31.01,74.16,1010.89,56.52,434.64
8284,26.56,52.3,1007.4,62.04,439.25
1500,27.2,77.95,1009.48,78.53,433.39
7782,33.08,69.75,1009.03,43.69,434.98
9178,10.67,40.23,1017.75,85.06,483.9
7010,13.35,40.27,1005.83,49.75,474.68
2321,13.0,39.28,1016.7,81.94,473.6
2161,11.92,41.2,1016.99,81.24,476.0
1319,30.4,77.3,1002.44,59.42,438.43
9421,29.65,72.86,1004.26,69.63,434.67
4031,27.03,65.12,1015.94,45.1,441.62
1469,29.56,74.22,1007.45,57.46,432.84
2196,32.89,66.44,1009.94,60.55,431.54
6790,13.52,42.34,1017.97,95.34,463.71
7417,18.41,44.89,1009.75,77.24,448.88
7153,7.61,39.42,1024.93,74.77,475.55
6941,21.44,50.78,1008.87,87.56,443.3
1678,4.95,42.07,1004.87,80.88,485.67
5660,24.76,63.07,1012.73,70.39,443.04
5617,16.87,52.05,1012.7,71.63,460.31
9258,25.59,73.5,1011.19,81.52,435.48
7271,26.96,69.45,1013.89,51.47,436.69
6098,17.78,50.66,1015.09,91.9,456.11
8656,20.94,49.02,1008.91,87.32,448.18
7440,24.11,59.27,1011.02,78.18,444.35
1754,13.46,41.4,1019.46,71.73,467.4
8964,27.36,58.33,1013.86,56.7,439.14
6799,16.25,58.86,1015.94,86.52,456.49
6895,30.78,69.14,1007.27,62.77,433.96
6037,22.25,43.79,1015.78,52.68,461.93
7473,10.42,39.96,1025.21,95.69,470.81
9268,23.86,74.93,1016.88,71.44,444.38
2129,12.68,41.4,1021.59,78.57,466.64
2587,30.85,68.94,1007.31,68.99,426.1
4528,7.24,39.04,1019.0,68.69,485.57
8513,32.38,67.17,1006.97,60.04,438.67
9071,21.04,74.87,1009.09,88.25,443.44
3862,24.8,65.48,1018.56,62.05,442.02
3815,25.16,68.08,1010.89,70.16,435.78
1963,29.1,73.9,1007.47,59.48,436.56
3061,18.51,58.46,1017.21,88.1,448.39
438,28.15,74.9,1003.67,76.32,433.63
2976,25.46,56.89,1012.59,62.9,443.5
6373,10.24,39.28,1010.13,81.61,477.53
6281,27.71,74.34,998.14,71.85,434.2
3643,26.52,65.06,1013.4,51.78,439.66
760,13.21,40.56,1018.12,64.49,475.86
3836,13.75,44.47,1029.63,70.74,467.14
5343,13.33,38.47,1015.42,58.27,466.26
5884,9.87,42.74,1024.61,87.74,470.9
6182,31.24,68.3,1015.89,42.84,435.2
6935,21.49,61.27,1019.81,63.21,450.07
4330,18.34,44.63,1000.76,89.27,455.22
5212,16.0,44.9,1020.5,80.89,461.5
7767,11.22,41.93,1023.13,69.35,480.71
5073,21.73,50.32,1008.51,84.62,442.1
4069,5.65,40.72,1022.46,85.17,487.09
5421,5.53,35.79,1013.48,94.19,484.25
6164,26.28,73.06,1008.06,90.7,437.01
2535,9.06,39.3,1019.73,84.23,480.41
7580,25.68,46.21,1011.01,57.53,442.98
4942,28.27,66.56,1007.36,55.99,433.52
7800,9.43,41.4,1028.42,84.92,479.28
146,14.55,42.74,1027.29,66.64,457.77
9239,31.51,71.97,1007.84,71.18,430.11
6471,15.98,41.48,1017.0,55.73,456.31
118,21.3,59.39,1013.83,84.53,444.21
1005,31.27,69.13,1009.45,57.01,425.48
8800,29.92,57.19,1008.62,45.8,438.99
6323,10.39,40.22,1006.59,87.77,479.14
880,33.79,69.05,1001.62,40.13,435.1
5955,10.02,42.44,1014.57,99.16,478.5
4278,13.01,41.58,1020.82,78.41,464.64
8294,26.56,49.02,1007.65,70.78,438.82
5759,13.52,41.48,1014.46,67.12,460.76
752,29.15,73.42,1011.43,66.49,432.26
4103,15.16,40.73,1017.7,86.37,459.19
9200,5.76,40.07,1013.22,62.99,494.67
9017,24.45,65.12,1015.92,57.19,445.01
9504,29.2,64.84,1009.94,55.37,441.9
145,12.26,39.96,1011.79,79.06,470.87
1788,24.47,70.94,1008.07,81.55,436.29
3616,24.48,69.45,1013.86,62.39,435.74
8153,10.98,37.5,1011.12,97.51,472.34
2447,22.6,69.84,1006.37,79.59,435.13
5912,6.17,41.31,1002.49,87.59,481.27
4345,10.38,41.01,1020.8,94.26,465.9
4392,3.98,35.47,1017.22,86.53,489.64
707,18.55,52.84,1004.45,86.82,450.23
842,24.58,49.02,1008.85,79.32,442.47
2159,30.13,68.94,1005.88,40.71,441.78
4007,14.02,40.75,1016.05,70.65,470.48
7461,27.5,49.3,1004.02,59.23,439.77
3646,25.68,59.44,1012.33,67.29,444.36
5791,20.68,63.86,1015.73,74.36,447.84
931,16.15,41.85,1016.54,81.58,466.56
3883,10.91,42.34,1021.83,94.99,470.91
4408,26.14,61.02,1010.13,66.71,436.17
2506,12.65,44.03,1007.13,85.23,466.01
6606,22.77,70.32,1012.04,82.43,440.67
6286,9.32,41.39,1020.03,70.21,481.88
7659,21.28,70.32,1011.55,88.05,438.7
2038,14.07,43.34,1015.79,86.0,463.77
3087,13.72,34.03,1018.57,65.95,469.25
4956,27.08,66.05,1017.33,54.68,439.47
679,14.69,54.3,1018.01,73.4,462.63
1502,6.52,35.57,1025.37,78.32,486.06
3268,12.7,39.72,1017.89,62.97,467.77
450,9.68,41.06,1022.75,87.44,476.67
488,25.76,74.87,1010.18,65.15,443.7
2791,34.09,68.51,1009.0,32.96,431.19
7396,29.38,69.68,1011.35,49.25,430.2
151,18.58,44.6,1016.61,48.15,459.06
6199,24.1,68.08,1012.73,65.24,440.33
9419,21.87,66.86,1013.01,57.39,453.62
5011,22.84,71.25,1001.9,96.45,433.85
8061,24.02,77.54,1008.33,83.92,438.52
6194,19.31,52.72,1024.93,53.93,455.25
3489,23.82,64.15,1020.96,60.11,447.37
2785,22.7,61.41,1012.08,78.08,449.75
6568,29.0,69.68,1012.78,66.09,442.79
6067,27.41,59.21,1013.3,50.93,438.39
780,22.61,59.87,1019.12,66.12,441.2
5965,22.39,48.14,1014.56,64.31,448.58
2747,28.69,67.25,1017.71,53.83,432.21
3289,25.34,69.48,1008.4,74.79,433.81
6718,14.73,54.3,1016.75,67.13,463.63
3239,15.85,42.28,1007.4,82.12,467.3
897,9.0,43.13,1020.25,81.32,481.09
7598,14.33,38.73,1003.52,85.92,468.86
3823,26.05,65.38,1009.43,52.1,449.82
2808,13.15,40.78,1024.13,79.59,462.3
4973,22.89,73.11,1006.66,73.11,440.15
1480,32.84,74.67,1015.89,31.81,430.88
9,6.77,38.18,1017.8,81.13,484.31
383,21.68,64.15,1021.09,70.88,454.32
5602,17.4,44.9,1020.5,77.11,457.75
8807,9.29,34.03,1018.84,74.81,483.74
7109,10.13,38.16,1013.57,79.04,474.92
992,16.34,42.28,1008.08,52.8,463.29
1485,32.16,68.14,1004.86,37.77,429.64
98,31.1,71.32,1008.09,45.87,437.54
7951,20.84,65.06,1016.88,71.93,445.74
2604,11.37,39.16,1016.54,87.05,480.54
8254,7.99,36.08,1020.08,83.2,481.35
3287,32.32,76.09,1006.63,62.96,432.53
9085,9.46,41.4,1026.78,87.58,480.82
461,15.42,40.56,1021.23,59.37,469.33
6055,30.49,64.44,1013.43,51.73,438.09
2095,27.98,71.98,1005.58,81.0,428.44
8211,8.47,41.03,1021.72,70.16,485.1
6001,28.54,71.94,1007.4,65.99,430.91
2091,18.03,53.16,1013.06,82.03,458.04
6918,24.77,69.71,1009.86,85.56,441.29
1926,3.2,41.31,997.67,98.84,489.86
8853,10.1,44.03,1008.11,90.29,471.59
5578,7.64,41.17,1020.01,75.14,488.53
4191,20.83,67.32,1011.76,73.11,443.17
680,26.31,72.39,1001.16,88.43,434.53
6426,8.9,41.4,1030.83,85.63,472.95
410,21.83,41.1,1001.91,41.79,453.38
4598,30.55,71.06,1009.33,73.38,432.6
6235,20.08,58.12,1015.53,80.84,455.85
3045,8.36,40.67,1014.99,73.65,489.1
244,19.4,42.44,1013.19,58.63,459.76
2790,23.02,63.47,1012.21,80.61,443.66
8060,27.81,64.69,1006.59,71.75,437.02
3309,27.58,71.97,1008.51,87.99,430.53
3603,12.06,48.04,1010.01,100.13,465.63
5877,5.7,40.62,1016.07,84.94,482.82
9345,18.41,42.44,1012.66,65.93,463.2
7397,21.04,45.09,1014.19,40.62,450.92
4932,23.64,70.04,1011.09,83.35,435.21
9154,14.03,41.79,1008.07,83.32,457.98
4035,27.74,70.32,1009.58,50.29,433.47
9160,22.05,48.14,1015.81,69.94,447.37
727,24.82,71.94,1010.5,64.67,438.69
4019,20.53,65.06,1016.69,73.47,446.64
7157,23.88,51.95,1005.37,75.25,449.52
6141,15.19,41.43,1011.34,89.67,470.41
3529,27.08,66.05,1017.91,59.1,441.16
6234,24.97,54.2,1012.68,74.25,439.71
5680,13.39,49.83,1007.14,90.88,466.04
7982,28.04,70.32,1011.28,78.16,435.42
5287,23.93,65.59,1011.09,87.26,444.9
6822,18.03,53.16,1013.1,81.42,457.73
9423,22.1,65.48,1019.3,66.96,447.0
3492,24.32,66.25,1009.09,91.89,444.93
6031,10.8,40.22,1011.25,84.57,478.21
4308,21.03,63.86,1014.84,71.72,450.64
8378,22.19,58.49,1010.91,77.03,449.4
6457,12.54,44.03,1007.05,84.03,471.86
282,8.58,40.72,1022.04,87.55,480.96
6189,26.05,73.88,1005.67,82.08,439.96
3010,22.47,48.6,1002.33,63.23,445.98
3781,24.49,65.46,1015.77,44.95,445.27
740,13.16,43.71,1024.44,85.68,469.06
7829,9.97,41.62,1013.99,96.02,464.86
939,5.28,45.87,1008.25,97.88,479.91
2673,26.78,73.06,1007.99,90.47,433.25
4150,13.78,38.28,1014.8,81.19,467.43
7749,27.23,66.48,1005.23,52.38,432.55
4066,15.22,41.35,1003.12,95.45,464.56
1239,23.56,66.49,1012.21,53.86,441.92
3999,14.46,42.86,1031.34,69.84,464.44
1460,29.71,73.18,1012.35,63.06,427.04
8598,21.84,59.39,1015.77,88.12,442.11
3056,25.38,74.67,1016.61,81.34,435.41
890,15.64,38.28,1014.39,76.93,466.51
4216,15.12,41.79,1007.16,82.35,455.63
2361,15.74,43.34,1013.38,81.45,463.24
3480,24.16,48.98,1015.19,42.55,459.27
4908,17.44,44.89,1009.9,80.54,457.67
6638,26.59,66.49,1013.32,49.76,439.72
406,21.3,48.92,1010.92,65.09,447.89
4772,21.75,59.8,1016.65,72.94,453.17
6306,26.98,43.77,1010.95,40.8,446.05
4696,18.37,58.96,1015.5,67.79,460.25
3676,22.2,44.05,1007.34,75.13,445.32
