,carat,cut,color,clarity,depth,table,x,y,z,price
37,0.43,Ideal,D,SI2,61.0,57.0,4.81,4.86,2.95,716
38,1.2,Premium,H,SI1,62.4,59.0,6.73,6.7,4.19,5899
39,1.56,Ideal,I,VVS2,62.0,56.0,7.39,7.42,4.6,10481
40,0.55,Ideal,H,SI1,62.1,56.0,5.2,5.26,3.25,1319
41,1.03,Premium,I,VS1,60.4,59.0,6.51,6.57,3.95,5012
42,0.72,Very Good,D,VS2,62.6,59.0,5.69,5.72,3.57,3075
43,1.27,Ideal,J,SI2,62.6,57.0,6.88,6.85,4.3,4779
44,0.52,Very Good,G,SI1,59.4,60.0,5.23,5.28,3.12,1267
45,0.55,Premium,E,SI2,59.7,58.0,5.35,5.33,3.19,1364
46,0.31,Good,G,SI1,63.2,54.0,4.31,4.33,2.73,462
47,0.33,Ideal,G,IF,62.1,56.0,4.44,4.41,2.75,1052
48,0.3,Ideal,E,IF,62.2,55.0,4.32,4.36,2.7,957
49,1.56,Very Good,I,SI1,61.3,57.0,7.48,7.54,4.6,9494
50,1.7,Very Good,H,VS2,62.8,58.0,7.52,7.57,4.74,12874
51,1.52,Premium,H,VS2,59.4,59.0,7.49,7.45,4.44,11206
52,2.02,Ideal,I,VS2,61.5,58.0,8.19,8.11,5.01,16018
53,0.41,Good,E,SI1,63.5,55.0,4.73,4.75,3.01,654
54,1.24,Ideal,G,VVS2,61.9,56.0,6.87,6.83,4.24,7986
55,0.38,Ideal,G,VS2,62.1,54.5,4.64,4.69,2.9,768
56,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91,16319
57,0.41,Ideal,F,VS1,61.3,57.0,4.77,4.79,2.93,1007
58,0.33,Very Good,E,SI1,63.3,56.0,4.43,4.41,2.8,743
59,0.5,Fair,G,VS2,65.7,57.0,4.97,4.9,3.24,1031
60,0.77,Very Good,H,SI1,61.7,56.0,5.84,5.89,3.62,2830
61,0.31,Good,D,SI1,63.8,57.0,4.29,4.33,2.75,533
62,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58,2760
63,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,649
64,2.04,Premium,I,SI2,59.8,59.0,8.3,8.23,4.94,14605
65,0.28,Ideal,E,VVS2,62.4,56.0,4.2,4.16,2.61,828
66,0.72,Very Good,G,SI1,63.1,57.0,5.66,5.72,3.59,2353
67,1.23,Good,I,SI1,60.7,61.0,6.91,6.93,4.2,6165
68,1.5,Good,H,VS1,63.8,61.0,7.17,7.12,4.56,9878
69,1.01,Ideal,H,VS2,62.7,57.0,6.41,6.39,4.01,5306
70,0.3,Very Good,G,VS1,63.1,58.0,4.28,4.24,2.69,776
71,0.7,Good,G,VS2,63.1,55.0,5.61,5.64,3.55,2633
72,0.97,Very Good,I,SI2,63.4,58.0,6.34,6.2,3.98,2567
73,1.5,Ideal,I,VS1,61.3,57.0,7.32,7.35,4.5,9900
74,2.3,Premium,H,SI2,62.7,56.0,8.46,8.42,5.29,15992
75,0.9,Premium,E,VS2,62.6,59.0,6.14,6.06,3.82,4687
76,0.32,Ideal,G,VVS1,62.4,56.0,4.36,4.39,2.73,842
77,0.29,Ideal,H,VVS1,62.1,55.0,4.28,4.3,2.66,607
78,0.3,Ideal,F,IF,62.2,56.0,4.31,4.34,2.69,886
79,0.73,Very Good,G,VS1,62.4,58.1,5.71,5.75,3.58,2999
80,0.55,Ideal,F,SI2,61.2,56.0,5.29,5.23,3.22,1263
81,0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981
82,0.34,Ideal,E,VS1,61.0,57.0,4.52,4.49,2.75,1033
83,1.08,Premium,G,SI2,59.3,61.0,6.66,6.61,3.94,3701
84,0.33,Ideal,F,VS1,61.2,56.0,4.49,4.46,2.74,928
85,1.7,Premium,J,VS2,61.0,59.0,7.66,7.62,4.66,9901
86,1.51,Very Good,G,SI1,63.1,56.0,7.27,7.22,4.57,7585
87,0.33,Premium,E,VS2,60.7,58.0,4.47,4.49,2.72,723
88,0.3,Premium,F,VS2,62.5,58.0,4.32,4.29,2.69,776
89,0.55,Ideal,H,VS1,61.9,55.0,5.25,5.28,3.26,1588
90,1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,4745
91,0.38,Very Good,D,SI2,62.1,55.0,4.62,4.65,2.88,633
92,1.0,Very Good,E,VS1,63.0,58.0,6.29,6.38,3.99,7676
93,0.5,Good,G,VVS2,64.1,56.0,5.06,5.02,3.23,1791
94,1.0,Premium,F,SI1,62.8,59.0,6.36,6.32,3.98,4939
95,1.31,Very Good,J,SI1,62.3,55.0,6.98,7.02,4.36,5450
96,0.72,Ideal,F,VVS1,60.8,56.0,5.83,5.81,3.54,5051
97,1.01,Good,E,VS2,58.0,60.0,6.64,6.68,3.86,6522
98,0.71,Ideal,H,VVS1,62.1,54.0,5.7,5.76,3.56,2918
99,0.79,Ideal,G,SI2,60.8,57.0,5.99,5.96,3.63,2453
100,0.57,Premium,J,VS1,62.2,58.0,5.34,5.3,3.31,1606
101,0.4,Ideal,F,VVS2,62.2,55.0,4.75,4.77,2.96,1012
102,0.51,Good,E,SI1,63.3,59.0,5.05,5.09,3.21,1304
103,1.53,Premium,J,IF,61.1,58.0,7.45,7.41,4.54,9596
104,0.38,Very Good,G,VS2,60.1,61.0,4.63,4.66,2.79,766
105,0.34,Ideal,D,VVS1,61.7,56.0,4.48,4.46,2.76,1211
106,1.01,Ideal,H,SI1,62.2,58.0,6.37,6.43,3.98,4773
107,0.79,Ideal,D,SI1,61.5,56.0,5.96,5.91,3.65,2846
108,1.07,Ideal,H,VS2,62.1,57.0,6.53,6.49,4.04,4458
109,0.4,Ideal,F,VS1,61.8,54.0,4.75,4.77,2.94,917
110,0.31,Ideal,E,VS1,61.8,56.0,4.37,4.34,2.69,942
111,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2370
112,0.44,Very Good,G,SI1,60.3,58.0,4.94,4.99,2.99,786
113,0.38,Very Good,E,SI1,61.2,59.0,4.64,4.67,2.85,700
114,0.34,Ideal,G,VVS1,62.1,53.0,4.49,4.53,2.8,863
115,1.06,Premium,E,SI2,60.5,60.0,6.67,6.61,4.02,4737
116,1.23,Very Good,H,VS2,60.2,63.0,6.95,6.91,4.17,7177
117,1.08,Very Good,D,VS1,60.2,58.0,6.61,6.67,4.0,9168
118,0.54,Ideal,F,SI1,61.5,55.0,5.23,5.28,3.23,1260
119,1.22,Ideal,H,SI2,61.7,56.0,6.91,6.83,4.24,5807
120,2.14,Very Good,J,VS2,62.8,57.0,8.27,8.16,5.16,14065
121,0.44,Premium,E,VS1,60.7,58.0,4.91,4.88,2.97,1238
122,0.34,Very Good,G,IF,59.4,56.0,4.59,4.63,2.74,917
123,0.76,Very Good,F,VVS1,62.1,57.0,5.8,5.83,3.61,4504
124,0.92,Ideal,H,IF,62.5,55.0,6.25,6.3,3.92,5758
125,1.04,Ideal,H,VS2,60.7,56.0,6.56,6.61,4.0,5805
126,1.01,Premium,E,SI2,59.1,60.0,6.57,6.55,3.88,4412
127,0.33,Premium,H,VS2,62.0,59.0,4.44,4.4,2.74,668
128,0.25,Ideal,H,VS2,61.0,55.0,4.11,4.09,2.5,472
129,0.5,Premium,G,VVS2,60.7,57.0,5.14,5.1,3.11,1935
130,0.36,Premium,E,VS1,60.4,58.0,4.64,4.67,2.81,852
131,0.51,Very Good,F,VVS2,62.7,56.0,5.11,5.13,3.21,2051
132,2.01,Premium,I,VS2,62.6,59.0,8.04,8.01,5.02,16778
133,0.91,Very Good,E,SI1,63.5,57.0,6.11,6.07,3.87,4138
134,1.04,Premium,G,VS2,60.1,59.0,6.56,6.59,3.95,6589
135,0.55,Premium,H,VS2,62.1,58.0,5.24,5.29,3.27,1363
136,0.3,Premium,G,VVS1,59.8,62.0,4.36,4.33,2.6,945
137,1.13,Ideal,H,SI1,62.0,57.0,6.73,6.66,4.15,5050
138,1.13,Very Good,H,VS2,61.4,61.0,6.67,6.71,4.11,5548
139,0.78,Very Good,G,SI1,63.0,58.0,5.82,5.86,3.68,2721
140,1.01,Fair,F,SI2,65.3,59.0,6.28,6.24,4.09,4317
141,0.35,Premium,E,SI2,61.5,59.0,4.56,4.52,2.79,630
142,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,2400
143,0.7,Very Good,H,SI1,63.5,57.0,5.59,5.66,3.59,2106
144,0.32,Very Good,H,SI1,63.0,59.0,4.33,4.37,2.74,461
145,1.34,Fair,G,SI2,64.7,55.0,7.03,6.97,4.53,5106
146,0.42,Very Good,E,SI1,62.3,58.0,4.76,4.81,2.98,773
147,0.54,Ideal,F,VVS1,61.6,55.0,5.27,5.28,3.25,2951
148,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4627
149,0.55,Ideal,F,VVS1,61.2,54.0,5.3,5.35,3.26,3005
150,1.27,Very Good,D,SI1,62.5,58.0,6.87,6.92,4.31,8312
151,2.0,Very Good,H,SI2,62.6,56.0,7.98,8.09,5.03,15446
152,0.71,Very Good,J,VS2,60.1,61.0,5.77,5.82,3.48,1869
153,0.32,Very Good,F,VS2,58.8,62.0,4.43,4.48,2.62,602
154,1.19,Ideal,E,SI1,61.3,57.0,6.83,6.81,4.18,7037
155,1.01,Good,H,VS2,64.4,58.0,6.18,6.24,4.0,5331
156,0.35,Ideal,F,IF,60.7,57.0,4.6,4.56,2.78,1073
157,0.73,Very Good,H,VS2,63.1,57.3,5.65,5.7,3.59,2337
158,1.31,Good,I,VS2,62.5,56.0,7.03,6.98,4.38,7236
159,1.21,Very Good,H,VS2,62.9,57.0,6.75,6.8,4.26,6189
160,1.83,Very Good,E,SI2,62.8,56.0,7.76,7.82,4.89,13134
161,0.52,Ideal,D,VS1,62.1,57.0,5.13,5.2,3.21,1914
162,0.24,Ideal,E,VVS2,61.6,56.0,4.01,4.04,2.48,678
163,0.7,Very Good,E,VS1,63.8,57.0,5.61,5.65,3.59,3177
164,1.16,Premium,I,VS2,62.4,58.0,6.69,6.65,4.16,5016
165,0.91,Ideal,F,VS2,62.6,55.0,6.2,6.23,3.89,5261
166,1.76,Very Good,J,SI2,60.9,60.0,7.79,7.83,4.76,9053
167,0.54,Premium,J,VVS2,58.2,62.0,5.37,5.31,3.11,1229
168,0.3,Ideal,D,VVS2,61.4,55.0,4.34,4.36,2.67,1041
169,0.5,Good,G,VS2,57.9,61.0,5.2,5.23,3.02,1316
170,1.01,Premium,I,SI1,61.6,58.0,6.45,6.51,3.99,3944
171,0.59,Very Good,F,VS2,61.8,58.0,5.35,5.4,3.32,1723
172,0.33,Very Good,G,VVS2,61.5,62.0,4.39,4.43,2.71,702
173,1.12,Ideal,H,SI1,62.8,55.0,6.66,6.61,4.17,5863
174,0.9,Very Good,F,SI1,59.6,63.0,6.24,6.17,3.7,3992
175,0.75,Premium,D,SI1,62.8,60.0,5.78,5.74,3.62,2903
176,2.02,Premium,H,VS2,62.7,53.0,8.02,7.95,0.0,18207
177,1.01,Very Good,D,I1,63.4,61.0,6.38,6.3,4.02,2291
178,1.19,Ideal,H,I1,61.5,57.0,6.83,6.79,4.19,3732
179,1.04,Ideal,H,VS1,62.0,54.0,6.52,6.54,4.05,6368
180,1.05,Premium,E,SI2,62.3,56.0,6.54,6.47,4.05,4939
181,0.7,Fair,G,VS1,57.1,62.0,5.89,5.94,3.38,2553
182,0.3,Ideal,E,VS2,62.1,55.0,4.32,4.35,2.69,658
183,0.32,Premium,H,VS2,62.7,58.0,4.35,4.33,2.72,605
184,0.36,Premium,H,VVS2,60.6,58.0,4.6,4.58,2.78,932
185,0.55,Good,D,SI2,63.2,56.0,5.21,5.24,3.3,1272
186,1.28,Premium,G,VVS2,62.1,58.0,6.96,6.91,4.31,10716
187,0.52,Ideal,G,VVS2,61.5,56.0,5.2,5.18,3.19,2012
188,0.26,Very Good,H,VVS2,63.3,58.0,4.08,4.04,2.57,600
189,0.92,Premium,F,SI1,61.8,59.0,6.25,6.21,3.85,3967
190,1.11,Ideal,I,SI1,61.9,55.0,6.65,6.66,4.12,5329
191,0.71,Ideal,E,VS1,60.4,56.0,5.8,5.85,3.52,3238
192,0.7,Good,F,VS1,63.7,55.0,5.56,5.61,3.56,2724
193,0.41,Ideal,D,VVS2,61.1,56.0,4.78,4.81,2.93,1105
194,0.53,Fair,F,VS2,65.5,58.0,5.09,5.03,3.31,1402
195,0.3,Ideal,E,VVS1,61.2,57.0,4.32,4.34,2.65,838
196,1.01,Good,F,VS1,63.3,60.0,6.32,6.35,4.01,6999
197,1.21,Very Good,G,VS2,62.3,58.0,6.76,6.8,4.22,7568
198,1.0,Good,E,VS1,60.6,63.0,6.28,6.42,3.85,6822
199,0.58,Premium,F,SI1,61.0,57.0,5.41,5.34,3.28,1634
200,0.3,Ideal,E,VS1,60.5,55.0,4.35,4.38,2.64,775
201,0.52,Ideal,H,VS1,62.0,55.4,5.16,5.21,3.21,1575
202,2.01,Good,H,I1,61.7,63.0,7.91,7.94,4.89,7959
203,0.3,Premium,I,SI1,61.6,62.0,4.3,4.27,2.64,506
204,0.9,Ideal,G,SI1,62.2,56.0,6.2,6.14,3.84,3931
205,0.5,Premium,E,VS1,61.9,59.0,5.1,5.08,3.15,2055
206,0.55,Very Good,G,VS2,62.3,56.0,5.24,5.29,3.28,1551
207,1.07,Very Good,G,SI1,60.5,62.0,6.6,6.69,4.02,4861
208,0.24,Ideal,F,VVS1,61.8,59.0,4.0,4.03,2.48,526
209,0.71,Ideal,J,SI1,60.7,61.0,5.72,5.77,3.49,2001
210,1.0,Premium,H,SI1,62.3,60.0,6.38,6.34,3.96,4788
211,0.37,Premium,E,VS2,61.0,59.0,4.6,4.65,2.82,692
212,0.31,Good,H,SI1,63.6,57.0,4.28,4.31,2.73,435
213,0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45,2819
214,1.01,Ideal,E,SI1,62.6,57.0,6.43,6.38,4.01,5599
215,1.01,Ideal,H,VS2,62.3,57.0,6.35,6.4,3.97,4821
216,0.59,Very Good,E,VVS2,59.8,57.0,5.48,5.53,3.29,2214
217,0.5,Very Good,D,VS2,60.1,63.0,5.13,5.09,3.07,1712
218,1.03,Ideal,H,VVS2,62.4,53.0,6.45,6.51,4.05,6560
219,0.31,Ideal,G,IF,61.3,54.0,4.38,4.4,2.69,891
220,1.02,Ideal,F,SI2,62.9,58.0,6.34,6.42,4.01,5115
221,0.42,Very Good,F,SI1,63.1,56.0,4.77,4.8,3.02,717
222,2.11,Very Good,F,SI2,63.5,55.0,8.08,8.13,5.15,18071
223,0.33,Premium,H,VS1,62.1,59.0,4.46,4.43,2.76,743
224,0.41,Ideal,G,IF,62.1,57.0,4.76,4.77,2.96,1276
225,0.35,Premium,E,SI1,61.1,59.0,4.5,4.56,2.77,614
226,1.59,Very Good,I,SI1,62.4,56.0,7.46,7.48,4.66,9925
227,0.33,Ideal,F,VVS2,61.8,54.0,4.47,4.5,2.77,761
228,0.91,Ideal,I,VS1,62.4,57.0,6.17,6.21,3.86,3954
229,1.63,Ideal,I,SI1,61.3,56.0,7.64,7.56,4.66,9694
230,0.53,Ideal,D,VS2,61.4,55.0,5.21,5.24,3.21,1585
231,0.43,Ideal,H,SI1,61.9,55.0,4.84,4.88,3.01,783
232,0.28,Ideal,F,VVS2,61.8,56.0,4.18,4.22,2.6,787
233,1.16,Premium,I,SI1,61.5,57.0,6.79,6.73,4.16,5002
234,1.28,Good,H,SI2,56.8,62.0,7.22,7.16,4.08,4086
235,0.3,Ideal,E,VS2,62.0,56.0,4.3,4.34,2.68,658
236,0.42,Premium,D,SI2,62.0,59.0,4.83,4.78,2.98,862
237,1.04,Good,F,VS2,63.7,58.0,6.43,6.34,4.07,6727
238,0.74,Ideal,F,VS2,62.1,56.0,5.83,5.79,3.61,3200
239,0.44,Ideal,E,VS2,61.6,54.0,4.9,4.97,3.04,936
240,0.55,Ideal,G,VVS2,60.5,58.0,5.3,5.34,3.22,2016
241,0.43,Premium,H,VS1,60.0,59.0,4.98,4.86,2.95,1113
242,1.01,Fair,E,SI2,57.9,57.0,6.51,6.55,3.78,3916
243,0.43,Good,D,SI2,63.3,57.0,4.79,4.82,3.04,669
244,0.73,Ideal,E,VS1,60.9,55.8,5.8,5.85,3.55,3660
245,0.32,Ideal,F,IF,61.2,56.0,4.41,4.45,2.71,1204
246,0.31,Ideal,D,VVS2,60.9,57.0,4.42,4.38,2.68,997
247,0.3,Premium,G,VS1,61.3,58.0,4.29,4.33,2.64,605
248,0.78,Very Good,E,VS1,60.9,57.0,5.94,5.88,3.59,3420
249,0.72,Ideal,I,VS2,61.1,56.0,5.76,5.82,3.54,2337
250,0.38,Premium,F,VS1,60.9,58.0,4.68,4.71,2.86,933
251,0.41,Ideal,F,VS2,62.7,56.0,4.78,4.72,2.98,1107
252,0.54,Ideal,H,SI1,62.5,53.0,5.22,5.25,3.27,1227
253,0.46,Ideal,F,SI2,61.4,56.0,4.97,5.0,3.06,881
254,1.06,Very Good,G,VS1,60.5,56.0,6.65,6.6,4.01,6707
255,1.53,Very Good,H,SI1,61.1,57.0,7.44,7.45,4.55,10468
256,0.34,Ideal,H,IF,61.8,54.0,4.51,4.55,2.8,863
257,0.95,Premium,G,SI1,62.6,58.0,6.26,6.21,3.9,4150
258,1.51,Premium,H,SI1,59.9,60.0,7.45,7.4,4.45,9261
259,0.71,Ideal,I,VS1,61.5,55.0,5.73,5.78,3.54,2525
260,0.54,Good,H,VS2,63.2,55.0,5.2,5.24,3.3,1338
261,0.39,Very Good,E,SI1,59.1,59.0,4.76,4.81,2.83,670
262,0.53,Good,E,VS2,63.5,59.0,5.13,5.17,3.27,1561
263,1.71,Very Good,F,VS2,58.5,61.0,7.88,7.79,4.58,17052
264,0.51,Good,F,SI1,63.8,56.0,5.08,5.04,3.23,1312
265,0.31,Ideal,E,VS2,61.0,54.0,4.37,4.41,2.68,680
266,0.52,Ideal,H,SI1,61.5,56.0,5.16,5.21,3.19,1206
267,1.57,Very Good,D,SI1,58.9,58.0,7.57,7.63,4.48,12697
268,0.34,Good,E,SI1,63.2,55.0,4.46,4.49,2.83,596
269,0.33,Ideal,E,SI1,62.4,56.0,4.41,4.43,2.76,579
270,1.2,Premium,J,VS1,62.0,59.0,6.77,6.72,4.18,4704
271,0.3,Ideal,G,VVS2,62.5,53.0,4.31,4.33,2.7,655
272,0.41,Ideal,F,VS1,62.6,55.0,4.75,4.77,2.98,1007
273,0.41,Very Good,D,VS1,63.4,56.0,4.7,4.76,3.0,991
274,0.4,Ideal,F,IF,61.9,54.0,4.75,4.81,2.96,1406
275,0.41,Premium,F,VS2,60.3,60.0,4.84,4.81,2.91,1107
276,0.5,Good,E,SI1,63.3,58.0,4.99,5.03,3.17,1316
277,0.52,Premium,G,SI2,58.8,62.0,5.31,5.3,3.12,1196
278,1.02,Good,D,SI2,57.5,62.0,6.62,6.6,3.8,3909
279,0.5,Very Good,E,SI1,63.2,57.0,5.06,5.03,3.19,1415
280,0.34,Premium,F,SI1,59.8,58.0,4.53,4.57,2.72,566
281,0.3,Ideal,D,VVS1,61.3,57.0,4.29,4.32,2.64,1000
282,0.5,Ideal,H,VVS1,61.4,57.0,5.08,5.11,3.12,1684
283,0.71,Ideal,D,VS2,60.9,56.0,5.76,5.79,3.52,4029
284,1.03,Premium,E,VS1,61.5,58.0,6.55,6.43,3.99,7614
285,1.04,Premium,G,VVS2,61.8,58.0,6.51,6.47,4.01,8098
286,1.21,Good,I,VS2,63.4,57.0,6.72,6.79,4.28,5290
287,1.0,Very Good,J,SI2,62.8,63.0,6.26,6.19,3.19,3293
288,0.58,Very Good,I,VS2,61.7,54.1,5.37,5.4,3.32,1408
289,0.41,Ideal,J,IF,62.1,54.0,4.78,4.81,2.98,777
290,0.74,Fair,G,VVS2,65.2,58.0,5.7,5.6,3.69,2959
291,1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,9704
292,0.72,Very Good,E,SI2,61.4,58.0,5.76,5.8,3.55,2688
293,1.75,Very Good,H,VS1,63.3,56.0,7.63,7.53,4.8,14359
294,0.39,Premium,F,VS2,58.4,62.0,4.79,4.76,2.79,1053
295,0.95,Very Good,J,VS2,63.5,56.0,6.24,6.27,3.97,3314
296,0.31,Ideal,G,VVS1,62.0,54.0,4.38,4.39,2.72,789
297,0.71,Ideal,E,VS2,59.5,57.0,5.83,5.86,3.48,3035
298,0.35,Premium,E,SI1,62.7,57.0,4.52,4.47,2.82,788
299,0.9,Very Good,E,VS2,62.2,59.0,6.13,6.18,3.83,4580
300,0.34,Ideal,F,IF,62.3,54.0,4.48,4.51,2.8,985
301,1.3,Premium,F,VS2,60.4,59.0,7.12,7.06,4.28,10090
302,0.52,Ideal,F,VVS2,61.6,57.0,5.16,5.2,3.19,2168
303,0.59,Very Good,G,VVS1,61.5,55.0,5.4,5.43,3.33,2256
304,0.41,Ideal,D,VS2,62.4,55.0,4.79,4.76,2.98,1076
305,2.01,Premium,F,SI2,62.0,60.0,7.88,7.82,4.87,11903
306,0.72,Ideal,F,SI1,62.7,57.0,5.69,5.73,3.58,2586
307,0.31,Premium,H,VVS1,61.8,58.0,4.3,4.34,2.67,707
308,1.55,Very Good,E,SI1,62.4,58.0,7.36,7.42,4.61,10851
309,1.03,Very Good,H,SI1,63.5,53.0,6.43,6.46,4.09,4573
310,0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,912
311,0.26,Ideal,E,VVS2,61.5,56.0,4.08,4.11,2.52,599
312,1.01,Ideal,I,SI1,61.9,59.0,6.38,6.42,3.96,4638
313,1.2,Premium,E,SI1,62.5,56.0,6.75,6.71,4.21,6742
314,1.18,Premium,E,SI2,62.5,60.0,6.74,6.7,4.2,5181
315,1.02,Premium,F,SI2,59.9,62.0,6.53,6.5,3.9,4238
316,0.33,Ideal,G,IF,61.3,57.0,4.42,4.46,2.72,984
317,0.57,Ideal,I,VS2,61.9,57.0,5.3,5.33,3.29,1410
318,1.12,Ideal,D,VS2,62.0,55.0,6.66,6.63,4.12,8430
319,1.14,Ideal,G,VVS1,61.1,58.0,6.74,6.77,4.13,10933
320,0.71,Ideal,H,SI1,60.7,59.0,5.75,5.81,3.51,2328
321,1.06,Premium,G,VS2,60.1,58.0,6.67,6.64,4.0,6325
322,0.42,Ideal,E,VS2,61.7,56.0,4.8,4.82,2.97,958
323,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4416
324,0.5,Good,G,SI2,62.3,64.0,5.1,5.02,3.15,1121
325,0.52,Ideal,F,VS2,61.8,55.4,5.13,5.17,3.18,1620
326,0.7,Premium,E,VS2,62.5,59.0,5.65,5.62,3.52,2737
327,0.4,Ideal,E,VVS2,61.5,55.0,4.77,4.79,2.94,988
328,1.0,Premium,E,VS2,61.5,58.0,6.42,6.39,3.94,6720
329,0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
330,0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1726
331,2.01,Very Good,I,VS2,62.5,61.0,7.97,8.03,5.0,15675
332,0.41,Ideal,E,VVS2,61.5,55.0,4.79,4.83,2.96,1187
333,0.58,Premium,G,VVS2,59.7,59.0,5.45,5.4,3.24,2095
334,0.7,Premium,H,VS2,60.7,59.0,5.68,5.66,3.44,2415
335,0.41,Very Good,E,SI1,62.8,57.0,4.71,4.75,2.97,705
336,0.34,Ideal,E,VS2,62.2,55.0,4.49,4.48,2.79,956
337,0.38,Ideal,E,VS1,62.6,53.5,4.61,4.66,2.9,979
338,0.3,Ideal,F,IF,62.4,54.0,4.33,4.36,2.71,886
339,0.41,Very Good,H,SI1,58.1,61.0,4.91,4.97,2.87,778
340,0.23,Very Good,E,VVS1,61.4,59.0,3.93,3.99,2.43,530
341,0.36,Premium,E,SI2,60.6,59.0,4.61,4.57,2.78,648
342,0.42,Ideal,H,VVS2,62.0,57.0,4.82,4.79,2.98,1055
343,0.5,Ideal,H,SI1,61.8,56.0,5.1,5.12,3.16,1035
344,0.31,Premium,E,VS2,60.5,60.0,4.34,4.36,2.63,680
345,0.9,Good,G,SI2,63.7,62.0,6.01,6.07,3.85,3067
346,0.57,Ideal,F,SI1,61.9,56.0,5.33,5.37,3.31,1759
347,0.7,Good,I,VVS2,59.7,59.0,5.73,5.77,3.43,2335
348,0.78,Ideal,G,SI1,61.0,57.0,5.94,5.99,3.64,2496
349,0.73,Ideal,G,SI1,62.5,55.0,5.78,5.74,3.6,2351
350,1.54,Premium,E,VS2,62.7,58.0,7.33,7.37,4.61,15178
351,0.53,Ideal,H,VS1,60.8,57.0,5.24,5.29,3.2,1848
352,1.51,Premium,H,SI2,61.6,60.0,7.34,7.27,4.5,10485
353,1.03,Premium,H,VS1,62.5,59.0,6.47,6.43,4.03,5624
